birth_year,profile,photo,name,id,birth_day,birth_month,country_id
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3014964-joan-verdu.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3014964.jpg,joan verdu,3014964,23,05,AND
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3014965-marc-oliveras.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3014965.jpg,marc oliveras,3014965,20,12,AND
1980,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023709-hannes-reichelt.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023709.jpg,hannes reichelt,3023709,05,07,AUT
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023702-matthias-mayer.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023702.jpg,matthias mayer,3023702,09,06,AUT
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023680-max-franz.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023680.jpg,max franz,3023680,01,09,AUT
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023694-vincent-kriechmayr.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023694.jpg,vincent kriechmayr,3023694,01,10,AUT
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023058-yuri-danilochkin.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023058.jpg,yuri danilochkin,3023058,22,02,BLR
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3044186-simon-breitfuss-kammerlander.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3044186.jpg,simon breitfuss kammerlander,3044186,29,11,BOL
1987,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028230-benjamin-thomsen.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028230.jpg,benjamin thomsen,3028230,25,08,CAN
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028233-broderick-thompson.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028233.jpg,broderick thompson,3028233,19,04,CAN
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028231-dustin-cook.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028231.jpg,dustin cook,3028231,11,02,CAN
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028229-manuel-osborne-paradis.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028229.jpg,manuel osborne-paradis,3028229,08,02,CAN
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030424-henrik-von-appen.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030424.jpg,henrik von appen,3030424,15,12,CHI
1986,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027561-natko-zrncic-dim.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027561.jpg,natko zrncic dim,3027561,07,03,CRO
1997,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3042079-filip-forejtek.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3042079.jpg,filip forejtek,3042079,03,11,CZE
1981,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3042080-jan-hudec.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3042080.jpg,jan hudec,3042080,19,08,CZE
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3042084-jan-zabystran.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3042084.jpg,jan zabystran,3042084,26,01,CZE
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3042078-ondrej-berndt.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3042078.jpg,ondrej berndt,3042078,29,09,CZE
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025343-christoffer-faarup.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025343.jpg,christoffer faarup,3025343,28,12,DEN
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3029078-andreas-romar.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3029078.jpg,andreas romar,3029078,04,09,FIN
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025854-adrien-theaux.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025854.jpg,adrien theaux,3025854,18,09,FRA
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025850-brice-roger.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025850.jpg,brice roger,3025850,09,08,FRA
1981,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025822-johan-clarey.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025822.jpg,johan clarey,3025822,08,01,FRA
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025844-maxence-muzaton.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025844.jpg,maxence muzaton,3025844,26,06,FRA
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3031796-andreas-sander.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3031796.jpg,andreas sander,3031796,13,06,GER
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030920-josef-ferstl.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030920.jpg,josef ferstl,3030920,29,12,GER
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030911-thomas-dressen.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030911.jpg,thomas dressen,3030911,22,11,GER
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034347-marton-kekesi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034347.jpg,marton kekesi,3034347,19,12,HUN
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3018290-patrick-mc-millan.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3018290.jpg,patrick mc millan,3018290,06,11,IRL
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027594-christof-innerhofer.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027594.jpg,christof innerhofer,3027594,17,12,ITA
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027612-dominik-paris.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027612.jpg,dominik paris,3027612,14,04,ITA
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027614-emanuele-buzzi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027614.jpg,emanuele buzzi,3027614,27,10,ITA
1982,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027609-peter-fill.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027609.jpg,peter fill,3027609,12,11,ITA
1987,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030468-igor-zakurdaev.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030468.jpg,igor zakurdaev,3030468,08,01,KAZ
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3040453-kim-dong-woo.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3040453.jpg,kim dong woo,3040453,01,06,KOR
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3017235-albin-tahiri.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3017235.jpg,albin tahiri,3017235,15,02,KOS
