event,Rank,Participant,Result,Notes
alpine-skiing-mens-downhill,1,Aksel Lund SVINDALNOR,1:40.25,
alpine-skiing-mens-downhill,2,Kjetil JANSRUDNOR,1:40.37,
alpine-skiing-mens-downhill,3,Beat FEUZSUI,1:40.43,
alpine-skiing-mens-downhill,4,Dominik PARISITA,1:40.79,
alpine-skiing-mens-downhill,5,Thomas DRESSENGER,1:41.03,
alpine-skiing-mens-downhill,6,Peter FILLITA,1:41.08,
alpine-skiing-mens-downhill,7,Vincent KRIECHMAYRAUT,1:41.19,
alpine-skiing-mens-downhill,8,Brice ROGERFRA,1:41.39,
alpine-skiing-mens-downhill,9,Matthias MAYERAUT,1:41.46,
alpine-skiing-mens-downhill,10,Andreas SANDERGER,1:41.62,
alpine-skiing-mens-downhill,11,Max FRANZAUT,1:41.75,
alpine-skiing-mens-downhill,12,Hannes REICHELTAUT,1:41.76,
alpine-skiing-mens-downhill,13,Mauro CAVIEZELSUI,1:41.86,
alpine-skiing-mens-downhill,14,Manuel OSBORNE-PARADISCAN,1:41.89,
alpine-skiing-mens-downhill,15,Aleksander Aamodt KILDENOR,1:42.18,
alpine-skiing-mens-downhill,16,Bryce BENNETTUSA,1:42.22,
alpine-skiing-mens-downhill,17,Christof INNERHOFERITA,1:42.23,
alpine-skiing-mens-downhill,18,Johan CLAREYFRA,1:42.39,
alpine-skiing-mens-downhill,19,Martin CATERSLO,1:42.53,
alpine-skiing-mens-downhill,20,Jared GOLDBERGUSA,1:42.59,
alpine-skiing-mens-downhill,21,Marc GISINSUI,1:42.82,
alpine-skiing-mens-downhill,22,Emanuele BUZZIITA,1:42.84,
alpine-skiing-mens-downhill,23,Maxence MUZATONFRA,1:42.96,
alpine-skiing-mens-downhill,23,Ryan COCHRAN-SIEGLEUSA,1:42.96,
alpine-skiing-mens-downhill,25,Josef FERSTLGER,1:42.98,
alpine-skiing-mens-downhill,26,Adrien THEAUXFRA,1:42.99,
alpine-skiing-mens-downhill,27,Bostjan KLINESLO,1:43.03,
