athlete_id,rank,sport_id,result,team,event_name
3025445,1,ALP,1:40.25,,men-s-downhill
3025444,2,ALP,1:40.37,,men-s-downhill
3034495,3,ALP,1:40.43,,men-s-downhill
3027612,4,ALP,1:40.79,,men-s-downhill
3030911,5,ALP,1:41.03,,men-s-downhill
3027609,6,ALP,1:41.08,,men-s-downhill
3023694,7,ALP,1:41.19,,men-s-downhill
3025850,8,ALP,1:41.39,,men-s-downhill
3023702,9,ALP,1:41.46,,men-s-downhill
3031796,10,ALP,1:41.62,,men-s-downhill
3023680,11,ALP,1:41.75,,men-s-downhill
3023709,12,ALP,1:41.76,,men-s-downhill
3034464,13,ALP,1:41.86,,men-s-downhill
3028229,14,ALP,1:41.89,,men-s-downhill
3025437,15,ALP,1:42.18,,men-s-downhill
3019708,16,ALP,1:42.22,,men-s-downhill
3027594,17,ALP,1:42.23,,men-s-downhill
3025822,18,ALP,1:42.39,,men-s-downhill
3043090,19,ALP,1:42.53,,men-s-downhill
3018737,20,ALP,1:42.59,,men-s-downhill
3034536,21,ALP,1:42.82,,men-s-downhill
3027614,22,ALP,1:42.84,,men-s-downhill
3019806,23,ALP,1:42.96,,men-s-downhill
3025844,23,ALP,1:42.96,,men-s-downhill
3030920,25,ALP,1:42.98,,men-s-downhill
3025854,26,ALP,1:42.99,,men-s-downhill
3043116,27,ALP,1:43.03,,men-s-downhill
3028230,28,ALP,1:43.19,,men-s-downhill
3043108,29,ALP,1:43.61,,men-s-downhill
3020604,30,ALP,1:43.72,,men-s-downhill
3029078,31,ALP,1:43.78,,men-s-downhill
3028231,32,ALP,1:43.80,,men-s-downhill
3034733,33,ALP,1:43.88,,men-s-downhill
3030424,34,ALP,1:44.02,,men-s-downhill
3028233,35,ALP,1:44.37,,men-s-downhill
3025343,36,ALP,1:44.48,,men-s-downhill
3014964,37,ALP,1:44.65,,men-s-downhill
3042079,38,ALP,1:44.79,,men-s-downhill
3030468,39,ALP,1:45.01,,men-s-downhill
3030623,40,ALP,1:45.21,,men-s-downhill
3027771,41,ALP,1:45.36,,men-s-downhill
3017632,42,ALP,1:45.42,,men-s-downhill
3041257,43,ALP,1:45.61,,men-s-downhill
3023058,44,ALP,1:45.86,,men-s-downhill
3042080,45,ALP,1:46.42,,men-s-downhill
3042084,46,ALP,1:46.60,,men-s-downhill
3044186,47,ALP,1:47.87,,men-s-downhill
3040453,48,ALP,1:47.99,,men-s-downhill
3022334,49,ALP,1:48.57,,men-s-downhill
3017235,50,ALP,1:48.81,,men-s-downhill
3027767,51,ALP,1:49.50,,men-s-downhill
3018290,52,ALP,1:49.98,,men-s-downhill
3034347,53,ALP,1:51.72,,men-s-downhill
3043120,,ALP,dnf,,men-s-downhill
3014965,,ALP,dnf,,men-s-downhill
3027561,,ALP,dns,,men-s-downhill
3042078,,ALP,dns,,men-s-downhill
3023702,1,ALP,1:24.44,,men-s-super-g
3034495,2,ALP,1:24.57,,men-s-super-g
3025444,3,ALP,1:24.62,,men-s-super-g
3025829,4,ALP,1:24.82,,men-s-super-g
3025445,5,ALP,1:24.93,,men-s-super-g
3023694,6,ALP,1:25.13,,men-s-super-g
3027612,7,ALP,1:25.18,,men-s-super-g
3031796,8,ALP,1:25.21,,men-s-super-g
3028231,9,ALP,1:25.23,,men-s-super-g
3043116,10,ALP,1:25.36,,men-s-super-g
3023709,11,ALP,1:25.40,,men-s-super-g
3030911,12,ALP,1:25.51,,men-s-super-g
3025437,13,ALP,1:25.71,,men-s-super-g
3019806,14,ALP,1:25.72,,men-s-super-g
3025854,15,ALP,1:25.76,,men-s-super-g
3027594,16,ALP,1:25.90,,men-s-super-g
3023680,17,ALP,1:25.96,,men-s-super-g
3025844,18,ALP,1:26.08,,men-s-super-g
3025850,19,ALP,1:26.10,,men-s-super-g
3027597,20,ALP,1:26.11,,men-s-super-g
3034733,21,ALP,1:26.20,,men-s-super-g
3028229,22,ALP,1:26.39,,men-s-super-g
3028233,23,ALP,1:26.45,,men-s-super-g
3018737,24,ALP,1:26.49,,men-s-super-g
3043120,25,ALP,1:26.50,,men-s-super-g
3034827,26,ALP,1:26.52,,men-s-super-g
3030920,27,ALP,1:26.81,,men-s-super-g
3014964,28,ALP,1:26.86,,men-s-super-g
3027561,29,ALP,1:27.05,,men-s-super-g
3030424,30,ALP,1:27.57,,men-s-super-g
3029078,31,ALP,1:27.70,,men-s-super-g
3025343,32,ALP,1:27.81,,men-s-super-g
3014965,33,ALP,1:27.84,,men-s-super-g
3042079,34,ALP,1:28.06,,men-s-super-g
3042078,35,ALP,1:28.30,,men-s-super-g
3041257,36,ALP,1:28.57,,men-s-super-g
3030409,37,ALP,1:28.59,,men-s-super-g
3036317,38,ALP,1:28.80,,men-s-super-g
3033052,39,ALP,1:28.89,,men-s-super-g
3042084,40,ALP,1:29.68,,men-s-super-g
3030468,41,ALP,1:29.96,,men-s-super-g
3023058,42,ALP,1:30.13,,men-s-super-g
3030406,43,ALP,1:31.10,,men-s-super-g
3040453,44,ALP,1:31.64,,men-s-super-g
3044186,45,ALP,1:31.69,,men-s-super-g
3027767,46,ALP,1:31.70,,men-s-super-g
3017235,47,ALP,1:32.74,,men-s-super-g
3018290,48,ALP,1:33.54,,men-s-super-g
3027609,,ALP,dnf,,men-s-super-g
3034464,,ALP,dnf,,men-s-super-g
3017908,,ALP,dnf,,men-s-super-g
3018774,,ALP,dnf,,men-s-super-g
3043090,,ALP,dnf,,men-s-super-g
3027771,,ALP,dnf,,men-s-super-g
3043108,,ALP,dnf,,men-s-super-g
3028238,,ALP,dnf,,men-s-super-g
3027567,,ALP,dnf,,men-s-super-g
3017632,,ALP,dnf,,men-s-super-g
3042080,,ALP,dnf,,men-s-super-g
3022334,,ALP,dnf,,men-s-super-g
3034347,,ALP,dnf,,men-s-super-g
3019661,,ALP,dns,,men-s-super-g
3023687,1,ALP,2:18.04,,men-s-giant-slalom
3025448,2,ALP,2:19.31,,men-s-giant-slalom
3025846,3,ALP,2:19.35,,men-s-giant-slalom
3043125,4,ALP,2:19.77,,men-s-giant-slalom
3026930,5,ALP,2:19.83,,men-s-giant-slalom
3025842,6,ALP,2:19.85,,men-s-giant-slalom
3025824,7,ALP,2:19.99,,men-s-giant-slalom
3025447,8,ALP,2:20.23,,men-s-giant-slalom
3034671,9,ALP,2:20.45,,men-s-giant-slalom
3033930,10,ALP,2:20.70,,men-s-giant-slalom
3019806,11,ALP,2:20.74,,men-s-giant-slalom
3028236,11,ALP,2:20.74,,men-s-giant-slalom
3027611,13,ALP,2:21.04,,men-s-giant-slalom
3027588,14,ALP,2:21.18,,men-s-giant-slalom
3034463,15,ALP,2:21.25,,men-s-giant-slalom
3017908,15,ALP,2:21.25,,men-s-giant-slalom
3026889,17,ALP,2:21.37,,men-s-giant-slalom
3028234,18,ALP,2:21.51,,men-s-giant-slalom
3034384,19,ALP,2:21.62,,men-s-giant-slalom
3020813,20,ALP,2:21.63,,men-s-giant-slalom
3043106,21,ALP,2:21.66,,men-s-giant-slalom
3031816,22,ALP,2:21.67,,men-s-giant-slalom
3033929,23,ALP,2:21.69,,men-s-giant-slalom
3027567,24,ALP,2:21.84,,men-s-giant-slalom
3033051,25,ALP,2:21.86,,men-s-giant-slalom
3030906,26,ALP,2:22.07,,men-s-giant-slalom
3028235,27,ALP,2:22.55,,men-s-giant-slalom
3015075,28,ALP,2:23.60,,men-s-giant-slalom
3028238,29,ALP,2:24.12,,men-s-giant-slalom
3027122,30,ALP,2:24.78,,men-s-giant-slalom
3042079,31,ALP,2:26.07,,men-s-giant-slalom
3026998,32,ALP,2:26.20,,men-s-giant-slalom
3011124,33,ALP,2:26.75,,men-s-giant-slalom
3030406,34,ALP,2:27.22,,men-s-giant-slalom
3034767,35,ALP,2:28.27,,men-s-giant-slalom
3030409,36,ALP,2:28.28,,men-s-giant-slalom
3027679,37,ALP,2:28.74,,men-s-giant-slalom
3036317,38,ALP,2:29.09,,men-s-giant-slalom
3040453,39,ALP,2:30.05,,men-s-giant-slalom
3043274,40,ALP,2:30.88,,men-s-giant-slalom
3027771,41,ALP,2:31.35,,men-s-giant-slalom
3034347,42,ALP,2:31.86,,men-s-giant-slalom
3044186,43,ALP,2:32.25,,men-s-giant-slalom
3034553,44,ALP,2:32.88,,men-s-giant-slalom
3027767,45,ALP,2:33.21,,men-s-giant-slalom
3026658,46,ALP,2:33.30,,men-s-giant-slalom
3051137,47,ALP,2:33.63,,men-s-giant-slalom
3041938,48,ALP,2:33.69,,men-s-giant-slalom
3018283,49,ALP,2:33.71,,men-s-giant-slalom
3033039,50,ALP,2:34.78,,men-s-giant-slalom
3030468,51,ALP,2:35.07,,men-s-giant-slalom
3028956,52,ALP,2:35.99,,men-s-giant-slalom
3015878,53,ALP,2:36.04,,men-s-giant-slalom
3023058,54,ALP,2:36.89,,men-s-giant-slalom
3027336,55,ALP,2:37.14,,men-s-giant-slalom
3017235,56,ALP,2:37.47,,men-s-giant-slalom
3022334,57,ALP,2:37.67,,men-s-giant-slalom
3017244,58,ALP,2:37.72,,men-s-giant-slalom
